{'n_strati_LSTM': 4, 'dimensione_strati_LSTM': 42, 'n_strati_densi': 4, 'dimensione_strati_densi': 110, 't_addestramento': 60.61131167411804, 'accuracy_finale': 0.08771929889917374, 'fitness': 0.08771929889917374}
{'n_strati_LSTM': 3, 'dimensione_strati_LSTM': 79, 'n_strati_densi': 5, 'dimensione_strati_densi': 251, 't_addestramento': 60.15492367744446, 'accuracy_finale': 0.07017543911933899, 'fitness': 0.07017543911933899}
{'n_strati_LSTM': 3, 'dimensione_strati_LSTM': 203, 'n_strati_densi': 1, 'dimensione_strati_densi': 70, 't_addestramento': 38.54386782646179, 'accuracy_finale': 0.061403509229421616, 'fitness': 0.061403509229421616}
{'n_strati_LSTM': 1, 'dimensione_strati_LSTM': 179, 'n_strati_densi': 4, 'dimensione_strati_densi': 137, 't_addestramento': 27.087908029556274, 'accuracy_finale': 0.05263157933950424, 'fitness': 0.05263157933950424}
{'n_strati_LSTM': 4, 'dimensione_strati_LSTM': 190, 'n_strati_densi': 3, 'dimensione_strati_densi': 44, 't_addestramento': 83.94538068771362, 'accuracy_finale': 0.24561403691768646, 'fitness': 0.24561403691768646}
{'n_strati_LSTM': 2, 'dimensione_strati_LSTM': 91, 'n_strati_densi': 4, 'dimensione_strati_densi': 233, 't_addestramento': 35.84420609474182, 'accuracy_finale': 0.035087719559669495, 'fitness': 0.035087719559669495}
{'n_strati_LSTM': 1, 'dimensione_strati_LSTM': 96, 'n_strati_densi': 2, 'dimensione_strati_densi': 46, 't_addestramento': 52.08023977279663, 'accuracy_finale': 0.5964912176132202, 'fitness': 0.5964912176132202}
{'n_strati_LSTM': 4, 'dimensione_strati_LSTM': 228, 'n_strati_densi': 2, 'dimensione_strati_densi': 53, 't_addestramento': 58.01076364517212, 'accuracy_finale': 0.11403508484363556, 'fitness': 0.11403508484363556}
{'n_strati_LSTM': 4, 'dimensione_strati_LSTM': 157, 'n_strati_densi': 3, 'dimensione_strati_densi': 165, 't_addestramento': 65.46905183792114, 'accuracy_finale': 0.061403509229421616, 'fitness': 0.061403509229421616}
{'n_strati_LSTM': 1, 'dimensione_strati_LSTM': 192, 'n_strati_densi': 3, 'dimensione_strati_densi': 160, 't_addestramento': 41.362914085388184, 'accuracy_finale': 0.5438596606254578, 'fitness': 0.5438596606254578}
{'n_strati_LSTM': 4, 'dimensione_strati_LSTM': 59, 'n_strati_densi': 5, 'dimensione_strati_densi': 198, 't_addestramento': 102.61213946342468, 'accuracy_finale': 0.5175438523292542, 'fitness': 0.5175438523292542}
