{'n_strati_LSTM': 2, 'dimensione_strati_LSTM': 201, 'n_strati_densi': 3, 'dimensione_strati_densi': 33, 't_addestramento': 48.04699397087097, 'accuracy_finale': 0.5964912176132202, 'fitness': 0.5964912176132202}
{'n_strati_LSTM': 4, 'dimensione_strati_LSTM': 111, 'n_strati_densi': 1, 'dimensione_strati_densi': 82, 't_addestramento': 69.93003511428833, 'accuracy_finale': 0.7280701994895935, 'fitness': 0.7280701994895935}
{'n_strati_LSTM': 2, 'dimensione_strati_LSTM': 233, 'n_strati_densi': 2, 'dimensione_strati_densi': 84, 't_addestramento': 49.79818868637085, 'accuracy_finale': 0.6666666865348816, 'fitness': 0.6666666865348816}
{'n_strati_LSTM': 4, 'dimensione_strati_LSTM': 42, 'n_strati_densi': 2, 'dimensione_strati_densi': 155, 't_addestramento': 66.17001104354858, 'accuracy_finale': 0.6754385828971863, 'fitness': 0.6754385828971863}
{'n_strati_LSTM': 1, 'dimensione_strati_LSTM': 172, 'n_strati_densi': 3, 'dimensione_strati_densi': 162, 't_addestramento': 32.89597940444946, 'accuracy_finale': 0.5526315569877625, 'fitness': 0.5526315569877625}
{'n_strati_LSTM': 4, 'dimensione_strati_LSTM': 68, 'n_strati_densi': 1, 'dimensione_strati_densi': 165, 't_addestramento': 76.39280652999878, 'accuracy_finale': 0.7017543911933899, 'fitness': 0.7017543911933899}
{'n_strati_LSTM': 2, 'dimensione_strati_LSTM': 173, 'n_strati_densi': 1, 'dimensione_strati_densi': 85, 't_addestramento': 42.12435603141785, 'accuracy_finale': 0.7105262875556946, 'fitness': 0.7105262875556946}
{'n_strati_LSTM': 2, 'dimensione_strati_LSTM': 160, 'n_strati_densi': 2, 'dimensione_strati_densi': 194, 't_addestramento': 46.84915828704834, 'accuracy_finale': 0.6666666865348816, 'fitness': 0.6666666865348816}
{'n_strati_LSTM': 3, 'dimensione_strati_LSTM': 121, 'n_strati_densi': 1, 'dimensione_strati_densi': 75, 't_addestramento': 57.483423709869385, 'accuracy_finale': 0.6578947305679321, 'fitness': 0.6578947305679321}
{'n_strati_LSTM': 2, 'dimensione_strati_LSTM': 74, 'n_strati_densi': 4, 'dimensione_strati_densi': 134, 't_addestramento': 51.19112300872803, 'accuracy_finale': 0.5789473652839661, 'fitness': 0.5789473652839661}
{'n_strati_LSTM': 2, 'dimensione_strati_LSTM': 101, 'n_strati_densi': 2, 'dimensione_strati_densi': 223, 't_addestramento': 43.86789536476135, 'accuracy_finale': 0.7982456088066101, 'fitness': 0.7982456088066101}
{'n_strati_LSTM': 4, 'dimensione_strati_LSTM': 35, 'n_strati_densi': 5, 'dimensione_strati_densi': 76, 't_addestramento': 74.00284194946289, 'accuracy_finale': 0.35087719559669495, 'fitness': 0.35087719559669495}
{'n_strati_LSTM': 3, 'dimensione_strati_LSTM': 119, 'n_strati_densi': 4, 'dimensione_strati_densi': 106, 't_addestramento': 59.68437695503235, 'accuracy_finale': 0.5175438523292542, 'fitness': 0.5175438523292542}
{'n_strati_LSTM': 4, 'dimensione_strati_LSTM': 33, 'n_strati_densi': 2, 'dimensione_strati_densi': 142, 't_addestramento': 64.33322954177856, 'accuracy_finale': 0.6578947305679321, 'fitness': 0.6578947305679321}
{'n_strati_LSTM': 1, 'dimensione_strati_LSTM': 119, 'n_strati_densi': 1, 'dimensione_strati_densi': 110, 't_addestramento': 25.094049215316772, 'accuracy_finale': 0.8157894611358643, 'fitness': 0.8157894611358643}
{'n_strati_LSTM': 3, 'dimensione_strati_LSTM': 62, 'n_strati_densi': 2, 'dimensione_strati_densi': 135, 't_addestramento': 77.09999084472656, 'accuracy_finale': 0.429824560880661, 'fitness': 0.429824560880661}
{'n_strati_LSTM': 2, 'dimensione_strati_LSTM': 97, 'n_strati_densi': 3, 'dimensione_strati_densi': 161, 't_addestramento': 80.25797462463379, 'accuracy_finale': 0.4035087823867798, 'fitness': 0.4035087823867798}
{'n_strati_LSTM': 3, 'dimensione_strati_LSTM': 150, 'n_strati_densi': 1, 'dimensione_strati_densi': 87, 't_addestramento': 70.40578961372375, 'accuracy_finale': 0.22807016968727112, 'fitness': 0.22807016968727112}
{'n_strati_LSTM': 4, 'dimensione_strati_LSTM': 60, 'n_strati_densi': 1, 'dimensione_strati_densi': 193, 't_addestramento': 71.87028431892395, 'accuracy_finale': 0.4912280738353729, 'fitness': 0.4912280738353729}
